Reference,Seed,Role,Cycle,Recall,Precision,Mass ratio,Timing,Recovery,FN mass,FP mass
old,43,E_I,2,0.9623012480765943,0.9176652808347598,1.0486407932979998,0.002287499999999998,1.0,3.445312499999998e-05,7.890625000000009e-05
old,43,F,1,0.8737043713384407,0.806133056133056,1.0838215412347907,0.030233333333333307,1.0,8.757812499999998e-05,0.0001457031250000001
old,43,F,2,0.8137288425371861,0.9528528528528528,0.8539921354077624,0.022419999999999884,1.0,0.0001702343749999997,3.6796875000000046e-05
old,shared,B_E,1,0.7929247408742678,0.9879281302638967,0.8026137899954936,0.015271428571428602,1.0,0.00014359374999999984,6.718749999999997e-06
old,shared,B_E,2,0.7743203966490001,0.9956034293251265,0.7777397845785607,0.021299999999999875,1.0,0.00020624999999999973,3.124999999999981e-06
refined,29,E,1,0.8699841305826341,0.9618999874671009,0.9044434368623895,0.004166666666666652,1.0,8.960937500000006e-05,2.3750000000000117e-05
refined,29,E,2,0.9666095890410956,0.889396565306444,1.0868150684931506,0.002775000000000194,1.0,3.0468750000000222e-05,0.00010968750000000008
refined,29,E_C,1,0.8856268419859443,0.9528048780487807,0.9294944457039219,0.00521333333333332,1.0,7.88281249999999e-05,3.023437499999988e-05
refined,29,E_C,2,0.96875,0.9123528463151104,1.0618150684931509,0.0015249999999999986,1.0,2.8515625000000004e-05,8.492187500000014e-05
refined,29,E_R,1,0.8890274314214467,0.9497457011382905,0.9360689186125596,0.006249999999999978,1.0,7.648437499999973e-05,3.242187499999979e-05
refined,29,E_R,2,0.9662671232876711,0.9118526298779994,1.0596746575342464,0.0002750000000000252,1.0,3.078125000000021e-05,8.523437500000013e-05
refined,29,E_I,1,0.8672636590342325,0.9654258675078862,0.8983223758784858,0.0024083333333333456,1.0,9.148437499999999e-05,2.1406250000000158e-05
refined,29,E_I,2,0.9642979452054792,0.9117623249413093,1.057619863013699,0.0015249999999999986,1.0,3.257812500000027e-05,8.51562500000006e-05
refined,29,F,1,0.8358648832464297,0.8564459930313592,0.9759691679891181,0.017499999999999988,1.0,0.00011312499999999973,9.656249999999975e-05
refined,29,F,2,0.9595890410958902,0.8819641170915954,1.0880136986301374,0.0008374999999998245,1.0,3.687500000000023e-05,0.00011718750000000054
refined,43,E,1,0.8791657220584905,0.9452772699573435,0.930061210609839,0.004323333333333318,1.0,8.32812499999997e-05,3.5078124999999736e-05
refined,43,E,2,0.9654965753424657,0.8944321065989849,1.0794520547945203,0.0044400000000002215,1.0,3.1484375000000045e-05,0.00010398437499999991
refined,43,E_C,1,0.8993425527091363,0.942840166369578,0.9538653366583544,0.004713333333333319,1.0,6.937499999999988e-05,3.757812500000007e-05
refined,43,E_C,2,0.9618150684931507,0.9225589225589222,1.042551369863014,0.0007833333333333581,1.0,3.4843750000000044e-05,7.367187500000028e-05
refined,43,E_R,1,0.8957152573112677,0.9478229578985248,0.9450238041260489,0.004133333333333322,1.0,7.187499999999967e-05,3.3984374999999943e-05
refined,43,E_R,2,0.959931506849315,0.9233303137610146,1.0396404109589041,0.0007833333333333581,1.0,3.656250000000003e-05,7.273437499999999e-05
refined,43,E_I,1,0.9020630242575379,0.9427792915531331,0.956812514169123,0.004583333333333328,1.0,6.749999999999996e-05,3.7734375000000224e-05
refined,43,E_I,2,0.9628424657534246,0.9167685660715741,1.0502568493150686,0.002287499999999998,1.0,3.390625000000008e-05,7.976562500000008e-05
refined,43,F,1,0.8755384266606212,0.8029106029106027,1.0904556789843576,0.03106666666666666,1.0,8.578124999999992e-05,0.00014812500000000014
refined,43,F,2,0.8143835616438359,0.9521521521521521,0.8553082191780824,0.022419999999999884,1.0,0.00016937499999999982,3.734375000000005e-05
refined,shared,B_E,1,0.7974382226252553,0.9875070185289163,0.8075266379505783,0.01443809523809525,1.0,0.00013960937499999976,6.953125000000015e-06
refined,shared,B_E,2,0.7755136986301372,0.9956034293251265,0.7789383561643838,0.021299999999999875,1.0,0.00020484374999999984,3.124999999999981e-06
